7588 C	[0.46909,0.054009,0.052981]
7589 C	[0.418239,0.023358,0.031453]
7590 C	[0.795875,0.028638,0.039945]
7591 C	[0.656663,0.071577,0.073384]
7592 C	[0.562953,0.105711,0.084048]
7593 C	[0.504632,0.110332,0.07407]
7594 C	[0.437448,0.085136,0.05203]
7595 C	[0.415732,0.059055,0.04368]
7596 C	[0.393797,0.039645,0.03226]
7597 C	[0.589788,0.159723,0.10416]
7598 C	[0.562805,0.133298,0.093006]
7599 C	[0.532771,0.135888,0.088528]
7600 C	[0.471599,0.09372,0.066021]
7601 C	[0.45929,0.077362,0.061825]
7602 C	[0.462595,0.054945,0.057089]
7603 C	[0.419365,0.04335,0.043981]
7604 C	[0.885257,0.016966,0.006417]
7605 C	[0.824485,0.043687,0.022412]
7606 C	[0.72988,0.080225,0.038968]
7607 C	[0.633997,0.102582,0.055786]
7608 C	[0.52639,0.113127,0.061913]
7609 C	[0.449367,0.095147,0.046977]
7610 C	[0.396397,0.073074,0.031665]
3544 C	[0.813412,0.03759,0.036612]
2444 C	[0.775842,0.059822,0.033624]
3519 C	[0.786306,0.073348,0.014066]
3572 C	[0.808123,0.118287,0.038697]
2445 C	[0.721278,0.105053,0.030978]
2446 C	[0.700307,0.092718,0.025496]
2447 C	[0.617989,0.083823,0.020383]
2337 C	[0.859885,0.059973,0.031311]
2338 C	[0.772851,0.066793,0.032258]
2339 C	[0.765737,0.106972,0.043247]
2340 C	[0.658797,0.11911,0.035576]
2341 C	[0.618283,0.091428,0.033692]
2342 C	[0.587613,0.119452,0.031375]
2343 C	[0.56063,0.11084,0.019157]
4036 C	[0.721475,0.043372,0.019342]
4037 C	[0.646697,0.062342,0.035681]
4038 C	[0.622995,0.072118,0.042927]
4039 C	[0.597035,0.080982,0.044575]
4040 C	[0.570405,0.050475,0.028467]
4041 C	[0.519584,0.044404,0.02332]
4042 C	[0.50721,0.033133,0.027194]
7611 C	[0.822933,0.03346,0.027443]
7612 C	[0.731241,0.052049,0.035635]
7613 C	[0.681828,0.056606,0.035979]
7614 C	[0.630027,0.041178,0.029748]
7615 C	[0.545916,0.037268,0.022045]
7616 C	[0.452355,0.040979,0.015143]
7617 C	[0.39206,0.037843,0.011788]
7520 C	[0.839862,0.043436,0.035152]
7521 C	[0.722536,0.036683,0.046424]
7522 C	[0.607032,0.086026,0.061734]
7523 C	[0.571156,0.095962,0.04556]
7524 C	[0.542254,0.098878,0.055118]
7525 C	[0.569838,0.054718,0.05554]
7526 C	[0.455579,0.091525,0.077611]
2437 C	[0.845391,0.044544,0.05886]
2438 C	[0.770592,0.064573,0.064185]
2439 C	[0.680497,0.067704,0.052956]
2440 C	[0.692225,0.039566,0.025398]
2441 C	[0.600505,0.063591,0.047622]
2442 C	[0.55953,0.076951,0.045871]
2443 C	[0.46459,0.099287,0.073805]
4043 C	[0.84057,0.023947,0.038542]
4044 C	[0.737798,0.034385,0.043337]
4045 C	[0.703193,0.035526,0.040512]
4046 C	[0.696558,0.025731,0.039641]
4047 C	[0.663657,0.029044,0.042677]
4048 C	[0.631484,0.026491,0.046774]
4049 C	[0.621355,0.01937,0.036023]
489 C	[0.851595,0.042305,0.036277]
488 C	[0.83136,0.053336,0.040648]
487 C	[0.792022,0.074175,0.051422]
486 C	[0.747943,0.098835,0.064355]
485 C	[0.585344,0.193187,0.107012]
484 C	[0.477363,0.126806,0.074029]
483 C	[0.381718,0.070196,0.044937]
2029 C	[0.73623,0.132088,0.056192]
2030 C	[0.693367,0.118923,0.052885]
2031 C	[0.65606,0.131817,0.058056]
2032 C	[0.623621,0.142617,0.064084]
2033 C	[0.579032,0.153059,0.07139]
2034 C	[0.625294,0.193659,0.091416]
2035 C	[0.563273,0.209016,0.101887]
2344 C	[0.729392,0.123974,0.073127]
2345 C	[0.734598,0.17174,0.081419]
2346 C	[0.709242,0.1969,0.07242]
2347 C	[0.584634,0.208356,0.11901]
2348 C	[0.649864,0.166442,0.082025]
2349 C	[0.564958,0.160836,0.112863]
2350 C	[0.501698,0.159841,0.087649]
4050 C	[0.781156,0.046951,0.045106]
4051 C	[0.720084,0.09764,0.06039]
4052 C	[0.714545,0.093204,0.055686]
4053 C	[0.675385,0.09905,0.059597]
4054 C	[0.549,0.100202,0.068224]
4055 C	[0.543881,0.09668,0.062196]
4056 C	[0.495574,0.069554,0.039407]
4057 C	[0.667645,0.145262,0.073738]
4058 C	[0.637047,0.176381,0.072139]
4059 C	[0.546792,0.173044,0.064175]
4060 C	[0.547146,0.166367,0.061042]
4061 C	[0.607565,0.11019,0.049907]
4062 C	[0.528615,0.123854,0.054494]
4063 C	[0.49691,0.111265,0.064104]
176 C	[0.84509,0.093311,0.020941]
177 C	[0.762885,0.154123,0.050563]
178 C	[0.700188,0.188946,0.084736]
Warm Red C	[0.662467,0.197184,0.107145]
179 C	[0.611143,0.179235,0.100509]
180 C	[0.551524,0.151645,0.081133]
181 C	[0.433088,0.101038,0.050079]
1765 C	[0.818322,0.110896,0.01798]
1775 C	[0.779479,0.138486,0.027945]
1785 C	[0.670494,0.202291,0.072226]
1788 C	[0.622845,0.211843,0.09831]
1795 C	[0.571169,0.189017,0.090036]
1805 C	[0.505275,0.158983,0.071799]
1815 C	[0.407359,0.111925,0.048302]
1767 C	[0.835726,0.093383,0.009713]
1777 C	[0.709625,0.184284,0.044833]
1787 C	[0.646641,0.21154,0.084309]
Red 032 C	[0.634408,0.207244,0.092724]
1797 C	[0.567896,0.176312,0.077555]
1807 C	[0.498711,0.138928,0.056749]
1817 C	[0.388731,0.068188,0.02447]
2448 C	[0.64918,0.13502,0.077798]
3556 C	[0.633996,0.196029,0.106197]
3516 C	[0.596448,0.176625,0.115296]
3546 C	[0.542893,0.206371,0.098119]
3517 C	[0.507369,0.211337,0.091729]
3523 C	[0.407606,0.094797,0.032382]
2449 C	[0.31196,0.052702,0.017082]
7618 C	[0.63683,0.098961,0.079065]
7619 C	[0.576297,0.137692,0.084405]
7620 C	[0.529096,0.160394,0.08059]
7621 C	[0.494135,0.162626,0.074218]
7622 C	[0.453005,0.137296,0.057987]
7623 C	[0.440479,0.124637,0.055457]
7624 C	[0.428143,0.108483,0.049089]
7625 C	[0.637273,0.164801,0.095068]
7626 C	[0.559798,0.1611,0.095207]
7627 C	[0.492281,0.146284,0.073595]
7628 C	[0.476355,0.139332,0.067379]
7629 C	[0.402105,0.077023,0.034275]
7630 C	[0.383136,0.066178,0.029103]
7631 C	[0.355126,0.058259,0.023084]
7415 C	[0.825762,0.0466,0.039279]
7416 C	[0.676091,0.142082,0.085366]
7417 C	[0.631993,0.167775,0.098054]
7418 C	[0.611539,0.147098,0.054981]
